Unnamed: 0,A,B,C,D
2000-01-01,1.3390910867107642,-0.1636430589256459,-0.6464425533392314,1.0412325889974416
2000-01-02,-0.7749840885611867,0.13703436405394914,-0.8827159154980816,-2.253381889623781
2000-01-03,-0.9210371677204512,-0.4829432213842945,-0.4170996442808703,0.4786375168774085
2000-01-04,-1.7388075484337893,-0.07297329287566777,0.05651657722897852,0.015084964341988956
2000-01-05,-0.9059800321682521,1.7785755271984458,0.3819175129513353,0.2914355562510866
2000-01-06,-0.8911647526314174,0.7411474452142385,0.2374821996163235,-1.5019085010924988
2000-01-07,1.1111323136677,0.28767400291042083,0.1830117586312286,1.3590462216516497
2000-01-08,-1.2909010817820166,-0.5492467927578967,-0.8251834347942677,0.3289400157367532
2000-01-09,-1.6896545352916346,0.8180155290637801,1.137703716910105,0.3345297992861632
2000-01-10,0.4165799172795886,-1.1881621639121598,0.7532286752986458,-0.7282240539212008
2000-01-11,0.32896811695535083,-1.0875983352798242,1.3528268740924292,0.9977328801540122
2000-01-12,0.26358506441198376,-0.18762008658621132,-1.0834750150445085,-0.09924998672718588
2000-01-13,-0.29300723996364225,-0.8137103715709109,2.7269929743582177,1.8699731723736088
2000-01-14,1.1086778922073892,-0.3397816598749457,1.9231703441045536,0.15613977595567882
2000-01-15,1.818885735378858,0.9791374113801282,0.5543169178750899,0.5647933719882937
2000-01-16,1.027912813748448,0.4195638415164622,0.684418988326301,-2.063247981353024
2000-01-17,-0.016772314318329627,0.07890165690718982,-0.2718256801417113,1.9557169266641985
2000-01-18,0.4309845729442973,-0.41580264985994586,1.3733148445881047,-0.3845512530472113
2000-01-19,-0.032470872288651524,-0.4309882820399121,-0.4620911791550695,-0.1119650144368067
2000-01-20,-1.3506629171138465,0.5224004137711759,0.6758055685782415,1.2659962661594129
2000-01-21,-3.693201134879103,0.11358420387342764,-1.3965406238429712,-0.5116518313101458
2000-01-22,0.15058604331130007,-0.06259931587319492,-2.1568331560367047,0.3719049235306588
2000-01-23,1.2507110987254098,-1.8276533817130367,1.3832361082123836,0.18029044402853767
2000-01-24,-0.3889944557724563,-2.232772618567441,1.4632538582074344,-0.4086963162411327
2000-01-25,0.5379291453385567,1.2450836475635578,-1.6438059023209384,1.2856497321619726
2000-01-26,0.8764442367695596,0.5411298803071009,-0.119710630037388,1.4962647730214118
2000-01-27,-0.3347211266691919,-0.7703858660626641,-0.32235153929730026,0.024414837882392786
2000-01-28,-0.18582561125658426,0.12372588213936228,1.1777770928716744,0.8009617434546691
2000-01-29,-0.3029420322131076,0.7799806534643215,-0.18652896002471087,1.2005562158150662
2000-01-30,0.3916954426181351,1.8578413382244088,0.8410396280319359,0.8166904547065233
2000-01-31,1.5340126704361807,0.3414971541190734,1.6546976727656453,-0.4764324455158554
2000-02-01,-0.009653594989444214,0.4183202293368608,1.3399870330879589,0.3698029302352685
2000-02-02,-0.518425385308536,-0.4782958619031839,-1.0458424138603497,-1.3150630771470382
2000-02-03,-0.8836122889872166,-0.8250027200605398,0.5099195637898084,0.3302635486521513
2000-02-04,-0.4091717531113656,-2.2136053757210044,0.4395306521469267,-0.266009567939876
2000-02-05,-0.15636171379294786,-1.0590094240740884,-1.7394540793419582,0.6414802824029712
2000-02-06,0.9750600079359016,-1.1658907671473049,-0.7095034369564253,2.6418676436520645
2000-02-07,0.005306757103940365,0.4972218919063451,1.0996057795850886,-0.6991638567277475
2000-02-08,0.6692525777040126,0.0943321873571212,-0.3823021376954511,-2.142954524844221
2000-02-09,0.08646268909266022,-2.2894871597837883,-0.42607634899286906,0.19384428940097248
2000-02-10,-0.12082866530905112,0.18126078623955705,0.9782065042662221,1.2014241547407456
2000-02-11,1.4041767929085416,-0.5852695676346408,-0.036195689147332434,1.1406892404475628
2000-02-12,-0.18886410503788992,0.04307422912866035,1.6484424247118807,2.4111061125548487
2000-02-13,0.3631124545955806,-0.6577389012680124,-1.2279727001096843,-0.05186870102291037
